Topic_0,Topic_1,Topic_2,Topic_3
cancer,health,clinical,cancer
effects,nanoparticles,medical,liposomes
nanoparticles,delivery,international,cells
medicine,drugs,number,tumours
university,nanotechnology,researchers,patients
cells,london,areas,scientists
london,assess,include,study
nanotechnology,water,journal,professor
treatment,initial,technology,healthy
drugs,mouse,effects,delivered
college,particles,inside,drugs
doses,smaller,delivery,university
human,strip,nanoparticles,sparing
exosomes,medicine,market,potential
medical,transform,translate,tumour
professor,engineering,mouse,deliver
chemotherapy,development,excitement,researchers
blood,published,future,national
particles,inside,prompted,called
humans,excitement,concept,developed
